name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Curse,nature,ghost,other,--,101,10
Growl,lv. 3,normal,other,--,100,40
Water Gun,lv. 6,water,special,40,100,25
Yawn,lv. 9,normal,other,--,101,10
Confusion,lv. 12,psychic,special,50,100,25
Disable,lv. 15,normal,other,--,100,20
Water Pulse,lv. 18,water,special,60,100,20
Headbutt,lv. 21,normal,physical,70,100,15
Zen Headbutt,lv. 24,psychic,physical,80,90,15
Amnesia,lv. 27,psychic,other,--,101,20
Surf,lv. 30,water,special,90,100,15
Slack Off,lv. 33,normal,other,--,101,5
Psychic,lv. 36,psychic,special,90,100,10
Psych Up,lv. 39,normal,other,--,101,10
Rain Dance,lv. 42,water,other,--,101,5
Heal Pulse,lv. 45,psychic,other,--,101,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Psybeam,TM016,psychic,special,65,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Stored Power,TM041,psychic,special,20,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Dig,TM055,ground,physical,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Waterfall,TM077,water,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Imprison,TM092,psychic,other,--,101,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Liquidation,TM110,water,physical,85,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Surf,TM123,water,special,90,100,15
Flamethrower,TM125,fire,special,90,100,15
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Psychic Terrain,TM138,psychic,other,--,101,10
Fire Blast,TM141,fire,special,110,85,5
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Trick Room,TM161,psychic,other,--,101,5
Tera Blast,TM171,normal,special,80,100,10
Weather Ball,TM193,normal,special,50,100,10
Psych Up,TM203,normal,other,--,101,10
Whirlpool,TM208,water,special,35,85,15
Expanding Force,TM218,psychic,special,80,100,10
Curse,TM224,ghost,other,--,101,10
