name,source,type,category,power,accuracy,pp
Leer,nature,normal,other,--,100,30
Powder Snow,nature,ice,special,40,100,25
Leafage,lv. 5,grass,physical,40,100,40
Mist,lv. 10,ice,other,--,101,30
Ice Shard,lv. 15,ice,physical,40,100,30
Razor Leaf,lv. 20,grass,physical,55,95,25
Icy Wind,lv. 25,ice,special,55,95,15
Swagger,lv. 30,normal,other,--,85,15
Ingrain,lv. 35,grass,other,--,101,20
Wood Hammer,lv. 41,grass,physical,120,100,15
Blizzard,lv. 45,ice,special,110,70,5
Sheer Cold,lv. 50,ice,special,??,30,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Magical Leaf,TM033,grass,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Bullet Seed,TM056,grass,physical,25,100,30
Body Slam,TM066,normal,physical,85,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Ice Spinner,TM124,ice,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Blizzard,TM143,ice,special,110,70,5
Leaf Storm,TM159,grass,special,130,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Icicle Spear,TM187,ice,physical,25,100,30
Weather Ball,TM193,normal,special,50,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Double-Edge,TM204,normal,physical,120,100,15
Curse,TM224,ghost,other,--,101,10
