name,source,type,category,power,accuracy,pp
Silk Trap,lv. Evolve,bug,other,--,101,10
Tackle,nature,normal,physical,40,100,35
String Shot,nature,bug,other,--,95,40
Struggle Bug,lv. 5,bug,special,50,100,20
Assurance,lv. 8,dark,physical,60,100,10
Feint,lv. 11,normal,physical,30,100,10
Bug Bite,lv. 14,bug,physical,60,100,20
Block,lv. 19,normal,other,--,101,5
Counter,lv. 24,fighting,physical,??,100,20
Headbutt,lv. 28,normal,physical,70,100,15
Sticky Web,lv. 33,bug,other,--,101,20
Gastro Acid,lv. 37,poison,other,--,100,10
Circle Throw,lv. 41,fighting,physical,60,90,10
Throat Chop,lv. 45,dark,physical,80,100,15
Skitter Smack,lv. 49,bug,physical,70,90,10
Take Down,TM001,normal,physical,90,85,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Struggle Bug,TM015,bug,special,50,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Spikes,TM090,ground,other,--,101,20
Toxic Spikes,TM091,poison,other,--,101,20
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Giga Drain,TM111,grass,special,75,100,10
Reversal,TM134,fighting,physical,??,100,15
Giga Impact,TM152,normal,physical,150,90,5
Bug Buzz,TM162,bug,special,90,100,10
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Pain Split,TM202,normal,other,--,101,20
Electroweb,TM211,electric,special,55,95,15
Skitter Smack,TM219,bug,physical,70,90,10
Throat Chop,TM221,dark,physical,80,100,15
Upper Hand,TM229,fighting,physical,65,100,15
