name,source,type,category,power,accuracy,pp
Splash,nature,normal,other,--,101,40
Confusion,lv. 7,psychic,special,50,100,25
Growl,lv. 10,normal,other,--,100,40
Psybeam,lv. 14,psychic,special,65,100,20
Psych Up,lv. 18,normal,other,--,101,10
Confuse Ray,lv. 22,ghost,other,--,100,10
Rest,lv. 29,psychic,other,--,101,5
Power Gem,lv. 29,rock,special,80,100,20
Snore,lv. 33,normal,special,50,100,15
Psyshock,lv. 38,psychic,special,80,100,10
Payback,lv. 40,dark,physical,50,100,10
Psychic,lv. 44,psychic,special,90,100,10
Bounce,lv. 50,flying,physical,85,85,5
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Stored Power,TM041,psychic,special,20,100,10
Night Shade,TM042,ghost,special,??,100,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Imprison,TM092,psychic,other,--,101,10
Flash Cannon,TM093,steel,special,80,100,10
Skill Swap,TM098,psychic,other,--,101,10
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Psychic Terrain,TM138,psychic,other,--,101,10
Trick Room,TM161,psychic,other,--,101,5
Tera Blast,TM171,normal,special,80,100,10
Lunge,TM185,bug,physical,80,100,15
Uproar,TM191,normal,special,90,100,10
Psych Up,TM203,normal,other,--,101,10
Endeavor,TM205,normal,physical,??,100,5
Future Sight,TM217,psychic,special,120,100,10
Expanding Force,TM218,psychic,special,80,100,10
