name,source,type,category,power,accuracy,pp
Close Combat,lv. Evolve,fighting,physical,120,100,5
Wing Attack,nature,flying,physical,60,100,35
Tackle,nature,normal,physical,40,100,35
Growl,nature,normal,other,--,100,40
Quick Attack,nature,normal,physical,40,100,30
Double Team,lv. 13,normal,other,--,101,15
Endeavor,lv. 18,normal,physical,??,100,5
Whirlwind,lv. 23,normal,other,--,101,20
Aerial Ace,lv. 28,flying,physical,60,101,20
Take Down,lv. 33,normal,physical,90,85,20
Agility,lv. 41,psychic,other,--,101,30
Brave Bird,lv. 49,flying,physical,120,100,15
Final Gambit,lv. 57,fighting,special,??,100,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Struggle Bug,TM015,bug,special,50,100,20
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Air Cutter,TM040,flying,special,60,95,25
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Fly,TM097,flying,physical,90,95,15
Substitute,TM103,normal,other,--,101,10
Tailwind,TM113,flying,other,--,101,15
Heat Wave,TM118,fire,special,95,90,10
Helping Hand,TM130,normal,other,--,101,20
Giga Impact,TM152,normal,physical,150,90,5
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Brave Bird,TM164,flying,physical,120,100,15
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Uproar,TM191,normal,special,90,100,10
Dual Wingbeat,TM197,flying,physical,40,90,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Feather Dance,TM216,flying,other,--,100,15
