name,source,type,category,power,accuracy,pp
Razor Leaf,nature,grass,physical,55,95,25
Splash,nature,normal,other,--,101,40
Flail,nature,normal,physical,??,100,15
Rapid Spin,nature,normal,physical,50,100,40
Play Nice,nature,normal,other,--,101,20
Sweet Scent,lv. 16,normal,other,--,100,20
Magical Leaf,lv. 22,grass,special,60,101,20
Stomp,lv. 28,normal,physical,65,100,20
Teeter Dance,lv. 34,normal,other,--,100,20
Aromatic Mist,lv. 40,fairy,other,--,101,20
Leaf Storm,lv. 46,grass,special,130,90,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
Zen Headbutt,TM059,psychic,physical,80,90,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Grassy Terrain,TM137,grass,other,--,101,10
Leaf Storm,TM159,grass,special,130,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Endeavor,TM205,normal,physical,??,100,5
Petal Blizzard,TM206,grass,physical,90,100,15
Triple Axel,TM212,ice,physical,20,90,10
