name,source,type,category,power,accuracy,pp
Rock Throw,nature,rock,physical,50,90,15
Block,nature,normal,other,--,101,5
Rock Polish,lv. 6,rock,other,--,101,20
Rock Tomb,lv. 12,rock,physical,60,95,15
Gravity,lv. 18,psychic,other,--,101,5
Stomp,lv. 24,normal,physical,65,100,20
Stealth Rock,lv. 30,rock,other,--,101,20
Rock Slide,lv. 36,rock,physical,75,90,10
Body Slam,lv. 42,normal,physical,85,100,15
Wide Guard,lv. 48,rock,other,--,101,10
Heavy Slam,lv. 54,steel,physical,??,100,10
Stone Edge,lv. 60,rock,physical,100,80,5
Mega Kick,lv. 66,normal,physical,120,75,5
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rock Blast,TM076,rock,physical,25,90,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Body Press,TM089,fighting,physical,80,100,10
Imprison,TM092,psychic,other,--,101,10
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Heavy Slam,TM121,steel,physical,??,100,10
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Gravity,TM178,psychic,other,--,101,5
Smack Down,TM179,rock,physical,50,100,15
High Horsepower,TM186,ground,physical,95,95,10
Heat Crash,TM189,fire,physical,??,100,10
Psych Up,TM203,normal,other,--,101,10
Endeavor,TM205,normal,physical,??,100,5
Meteor Beam,TM220,rock,special,120,90,10
Curse,TM224,ghost,other,--,101,10
Hard Press,TM225,steel,physical,??,100,10
