name,source,type,category,power,accuracy,pp
Slam,lv. Evolve,normal,physical,80,75,20
Wood Hammer,nature,grass,physical,120,100,15
Stone Edge,nature,rock,physical,100,80,5
Copycat,nature,normal,other,--,101,20
Hammer Arm,nature,fighting,physical,100,90,10
Flail,nature,normal,physical,??,100,15
Fake Tears,nature,dark,other,--,100,20
Rock Throw,nature,rock,physical,50,90,15
Block,lv. 12,normal,other,--,101,5
Mimic,lv. 16,normal,other,--,101,10
Rock Tomb,lv. 20,rock,physical,60,95,15
Tearful Look,lv. 24,normal,other,--,101,20
Sucker Punch,lv. 28,dark,physical,70,100,5
Rock Slide,lv. 32,rock,physical,75,90,10
Low Kick,lv. 36,fighting,physical,??,100,20
Counter,lv. 40,fighting,physical,??,100,20
Double-Edge,lv. 44,normal,physical,120,100,15
Head Smash,lv. 48,rock,physical,150,80,5
Take Down,TM001,normal,physical,90,85,20
Fake Tears,TM003,dark,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Rock Blast,TM076,rock,physical,25,90,10
Grass Knot,TM081,grass,special,??,100,20
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Body Press,TM089,fighting,physical,80,100,10
Spikes,TM090,ground,other,--,101,20
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Stealth Rock,TM116,rock,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Smack Down,TM179,rock,physical,50,100,15
High Horsepower,TM186,ground,physical,95,95,10
Focus Punch,TM192,fighting,physical,150,100,20
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Meteor Beam,TM220,rock,special,120,90,10
Curse,TM224,ghost,other,--,101,10
