name,source,type,category,power,accuracy,pp
Pound,nature,normal,physical,40,100,35
Tackle,nature,normal,physical,40,100,35
Growth,nature,normal,other,--,101,20
Ingrain,lv. 4,grass,other,--,101,20
Absorb,lv. 7,grass,special,20,100,25
Mega Drain,lv. 10,grass,special,40,100,15
Leech Seed,lv. 13,grass,other,--,90,10
Razor Leaf,lv. 16,grass,physical,55,95,25
Worry Seed,lv. 19,grass,other,--,100,10
Giga Drain,lv. 22,grass,special,75,100,10
Bullet Seed,lv. 25,grass,physical,25,100,30
Petal Dance,lv. 28,grass,special,120,100,10
Solar Beam,lv. 31,grass,special,120,100,10
Double-Edge,lv. 34,normal,physical,120,100,15
Sunny Day,lv. 39,fire,other,--,101,5
Leaf Storm,lv. 43,grass,special,130,90,5
Petal Blizzard,lv. 50,grass,physical,90,100,15
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Magical Leaf,TM033,grass,special,60,101,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Encore,TM122,normal,other,--,100,5
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Grassy Terrain,TM137,grass,other,--,101,10
Sludge Bomb,TM148,poison,special,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Leaf Storm,TM159,grass,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Weather Ball,TM193,normal,special,50,100,10
Grassy Glide,TM194,grass,physical,55,100,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Petal Blizzard,TM206,grass,physical,90,100,15
Curse,TM224,ghost,other,--,101,10
