name,source,type,category,power,accuracy,pp
Water Gun,nature,water,special,40,100,25
Quick Attack,lv. 6,normal,physical,40,100,30
Sweet Scent,lv. 9,normal,other,--,100,20
Soak,lv. 14,water,other,--,100,20
Bubble Beam,lv. 17,water,special,65,100,20
Agility,lv. 22,psychic,other,--,101,30
Mist,lv. 25,ice,other,--,101,30
Haze,lv. 25,ice,other,--,101,30
Baton Pass,lv. 35,normal,other,--,101,40
Sticky Web,lv. 38,bug,other,--,101,20
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acrobatics,TM014,flying,physical,55,100,15
Struggle Bug,TM015,bug,special,50,100,20
Psybeam,TM016,psychic,special,65,100,20
Thief,TM018,dark,physical,60,100,25
Pounce,TM021,bug,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Giga Drain,TM111,grass,special,75,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Surf,TM123,water,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Bug Buzz,TM162,bug,special,90,100,10
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Psych Up,TM203,normal,other,--,101,10
Skitter Smack,TM219,bug,physical,70,90,10
