name,source,type,category,power,accuracy,pp
Growl,nature,normal,other,--,100,40
Peck,nature,flying,physical,35,100,35
Disarming Voice,lv. 4,fairy,special,40,101,15
Mist,lv. 8,ice,other,--,101,30
Fury Attack,lv. 12,normal,physical,15,85,20
Round,lv. 16,normal,special,60,100,15
Dragon Breath,lv. 20,dragon,special,60,100,20
Safeguard,lv. 24,normal,other,--,101,25
Sing,lv. 28,normal,other,--,55,15
Cotton Guard,lv. 32,grass,other,--,101,10
Take Down,lv. 36,normal,physical,90,85,20
Moonblast,lv. 40,fairy,special,95,100,15
Perish Song,lv. 44,normal,other,--,101,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Dazzling Gleam,TM079,fairy,special,80,100,10
Rest,TM085,psychic,other,--,101,5
Fly,TM097,flying,physical,90,95,15
Substitute,TM103,normal,other,--,101,10
Tailwind,TM113,flying,other,--,101,15
Dragon Pulse,TM115,dragon,special,85,100,10
Hyper Voice,TM117,normal,special,90,100,10
Heat Wave,TM118,fire,special,95,90,10
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Hurricane,TM160,flying,special,110,70,10
Brave Bird,TM164,flying,physical,120,100,15
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Haze,TM174,ice,other,--,101,30
Dual Wingbeat,TM197,flying,physical,40,90,10
Endeavor,TM205,normal,physical,??,100,5
Feather Dance,TM216,flying,other,--,100,15
Dragon Cheer,TM226,dragon,other,--,101,15
