name,source,type,category,power,accuracy,pp
Body Slam,lv. Evolve,normal,physical,85,100,15
Pound,nature,normal,physical,40,100,35
Sludge,nature,poison,special,65,100,20
Poison Gas,nature,poison,other,--,90,40
Yawn,nature,normal,other,--,101,10
Gunk Shot,nature,poison,physical,120,80,5
Amnesia,lv. 12,psychic,other,--,101,20
Acid Spray,lv. 17,poison,special,40,100,20
Encore,lv. 20,normal,other,--,100,5
Toxic,lv. 25,poison,other,--,90,10
Stockpile,lv. 30,normal,other,--,101,20
Spit Up,lv. 30,normal,special,??,100,10
Swallow,lv. 30,normal,other,--,101,10
Sludge Bomb,lv. 37,poison,special,90,100,10
Gastro Acid,lv. 42,poison,other,--,100,10
Belch,lv. 49,poison,special,120,90,10
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Acid Spray,TM013,poison,special,40,100,20
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Mud Shot,TM035,ground,special,55,95,15
Fling,TM043,dark,physical,??,100,10
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Metronome,TM080,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Swords Dance,TM088,normal,other,--,101,20
Body Press,TM089,fighting,physical,80,100,10
Toxic Spikes,TM091,poison,other,--,101,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Encore,TM122,normal,other,--,100,5
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Ice Beam,TM135,ice,special,90,100,10
Sludge Bomb,TM148,poison,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Toxic,TM175,poison,other,--,90,10
Knock Off,TM181,dark,physical,65,100,20
Pain Split,TM202,normal,other,--,101,20
Double-Edge,TM204,normal,physical,120,100,15
Sludge Wave,TM214,poison,special,95,100,10
Curse,TM224,ghost,other,--,101,10
