name,source,type,category,power,accuracy,pp
Growl,nature,normal,other,--,100,40
Ember,nature,fire,special,40,100,25
Peck,nature,flying,physical,35,100,35
Quick Attack,nature,normal,physical,40,100,30
Feint,nature,normal,physical,30,100,10
Flare Blitz,nature,fire,physical,120,100,15
Flame Charge,nature,fire,physical,50,100,20
Flail,lv. 15,normal,physical,??,100,15
Acrobatics,lv. 22,flying,physical,55,100,15
Agility,lv. 29,psychic,other,--,101,30
Aerial Ace,lv. 38,flying,physical,60,101,20
Tailwind,lv. 47,flying,other,--,101,15
Steel Wing,lv. 56,steel,physical,70,90,25
Roost,lv. 65,flying,other,--,101,5
Fly,lv. 74,flying,physical,90,95,15
Brave Bird,lv. 83,flying,physical,120,100,15
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Thief,TM018,dark,physical,60,100,25
Fire Spin,TM024,fire,special,35,85,15
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Swift,TM032,normal,special,60,101,20
Flame Charge,TM038,fire,physical,50,100,20
Air Cutter,TM040,flying,special,60,95,25
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
U-turn,TM060,bug,physical,70,100,20
Bulk Up,TM064,fighting,other,--,101,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Fly,TM097,flying,physical,90,95,15
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Tailwind,TM113,flying,other,--,101,15
Heat Wave,TM118,fire,special,95,90,10
Flamethrower,TM125,fire,special,90,100,15
Fire Blast,TM141,fire,special,110,85,5
Giga Impact,TM152,normal,physical,150,90,5
Overheat,TM157,fire,special,130,90,5
Hurricane,TM160,flying,special,110,70,10
Hyper Beam,TM163,normal,special,150,90,5
Brave Bird,TM164,flying,physical,120,100,15
Flare Blitz,TM165,fire,physical,120,100,15
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Dual Wingbeat,TM197,flying,physical,40,90,10
Double-Edge,TM204,normal,physical,120,100,15
Temper Flare,TM207,fire,physical,75,100,10
Feather Dance,TM216,flying,other,--,100,15
Upper Hand,TM229,fighting,physical,65,100,15
