name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
String Shot,nature,bug,other,--,95,40
Struggle Bug,lv. 5,bug,special,50,100,20
Assurance,lv. 8,dark,physical,60,100,10
Feint,lv. 11,normal,physical,30,100,10
Bug Bite,lv. 14,bug,physical,60,100,20
Block,lv. 18,normal,other,--,101,5
Counter,lv. 22,fighting,physical,??,100,20
Headbutt,lv. 25,normal,physical,70,100,15
Sticky Web,lv. 29,bug,other,--,101,20
Gastro Acid,lv. 33,poison,other,--,100,10
Circle Throw,lv. 36,fighting,physical,60,90,10
Throat Chop,lv. 40,dark,physical,80,100,15
Skitter Smack,lv. 44,bug,physical,70,90,10
Take Down,TM001,normal,physical,90,85,20
Protect,TM007,normal,other,--,101,10
Struggle Bug,TM015,bug,special,50,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
False Swipe,TM057,normal,physical,40,100,40
Shadow Claw,TM061,ghost,physical,70,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Spikes,TM090,ground,other,--,101,20
Toxic Spikes,TM091,poison,other,--,101,20
Leech Life,TM095,bug,physical,80,100,10
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Giga Drain,TM111,grass,special,75,100,10
Bug Buzz,TM162,bug,special,90,100,10
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Skitter Smack,TM219,bug,physical,70,90,10
Throat Chop,TM221,dark,physical,80,100,15
