name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Lick,nature,ghost,physical,30,100,30
Covet,nature,normal,physical,60,100,25
Fling,nature,dark,physical,??,100,10
Baby-Doll Eyes,nature,fairy,other,--,100,30
Fury Swipes,lv. 8,normal,physical,18,80,15
Payback,lv. 13,dark,physical,50,100,10
Sweet Scent,lv. 17,normal,other,--,100,20
Slash,lv. 22,normal,physical,70,100,20
Play Nice,lv. 25,normal,other,--,101,20
Play Rough,lv. 29,fairy,physical,90,90,10
Charm,lv. 33,fairy,other,--,100,20
Rest,lv. 37,psychic,other,--,101,5
Snore,lv. 37,normal,special,50,100,15
Thrash,lv. 41,normal,physical,120,100,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Bulldoze,TM028,ground,physical,60,100,20
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Rock Tomb,TM036,rock,physical,60,95,15
Fling,TM043,dark,physical,??,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Shadow Claw,TM061,ghost,physical,70,100,15
Bulk Up,TM064,fighting,other,--,101,20
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Metronome,TM080,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Crunch,TM108,dark,physical,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Earthquake,TM149,ground,physical,100,100,10
Close Combat,TM167,fighting,physical,120,100,5
Tera Blast,TM171,normal,special,80,100,10
Smack Down,TM179,rock,physical,50,100,15
Uproar,TM191,normal,special,90,100,10
Focus Punch,TM192,fighting,physical,150,100,20
Double-Edge,TM204,normal,physical,120,100,15
