name,source,type,category,power,accuracy,pp
Mean Look,nature,normal,other,--,101,5
Sand Tomb,nature,ground,physical,35,85,15
Spite,nature,ghost,other,--,100,10
Spikes,lv. 5,ground,other,--,101,20
Payback,lv. 10,dark,physical,50,100,10
Stomp,lv. 15,normal,physical,65,100,20
Bulldoze,lv. 20,ground,physical,60,100,20
Whirlwind,lv. 25,normal,other,--,101,20
Taunt,lv. 30,dark,other,--,100,20
Thrash,lv. 35,normal,physical,120,100,10
Dark Pulse,lv. 40,dark,special,80,100,15
Stomping Tantrum,lv. 45,ground,physical,75,100,10
Ruination,lv. 50,dark,special,??,90,10
Throat Chop,lv. 55,dark,physical,80,100,15
Rock Slide,lv. 60,rock,physical,75,90,10
Memento,lv. 65,dark,other,--,100,10
Earthquake,lv. 70,ground,physical,100,100,10
Fissure,lv. 75,ground,physical,??,30,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Hex,TM029,ghost,special,65,100,10
Snarl,TM030,dark,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Dig,TM055,ground,physical,80,100,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Body Press,TM089,fighting,physical,80,100,10
Spikes,TM090,ground,other,--,101,20
Dark Pulse,TM094,dark,special,80,100,15
Substitute,TM103,normal,other,--,101,10
Stealth Rock,TM116,rock,other,--,101,20
Heavy Slam,TM121,steel,physical,??,100,10
Earth Power,TM133,ground,special,90,100,10
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
Spite,TM177,ghost,other,--,100,10
Lash Out,TM199,dark,physical,75,100,5
Double-Edge,TM204,normal,physical,120,100,15
Throat Chop,TM221,dark,physical,80,100,15
