name,source,type,category,power,accuracy,pp
Astonish,nature,ghost,physical,30,100,15
Fairy Wind,nature,fairy,special,40,100,30
Baby-Doll Eyes,lv. 5,fairy,other,--,100,30
Metal Claw,lv. 8,steel,physical,50,95,35
Covet,lv. 11,normal,physical,60,100,25
Rock Smash,lv. 14,fighting,physical,40,100,15
Draining Kiss,lv. 17,fairy,special,50,100,10
Sweet Kiss,lv. 21,fairy,other,--,75,10
Brutal Swing,lv. 24,dark,physical,60,100,20
Slam,lv. 27,normal,physical,80,75,20
Flash Cannon,lv. 31,steel,special,80,100,10
Play Rough,lv. 35,fairy,physical,90,90,10
Fake Out,lv. 39,normal,physical,40,100,10
Flatter,lv. 43,dark,other,--,100,15
Skitter Smack,lv. 47,bug,physical,70,90,10
Knock Off,lv. 52,dark,physical,65,100,20
Fake Tears,TM003,dark,other,--,100,20
Protect,TM007,normal,other,--,101,10
Thief,TM018,dark,physical,60,100,25
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Metal Claw,TM031,steel,physical,50,95,35
Rock Tomb,TM036,rock,physical,60,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Brick Break,TM058,fighting,physical,75,100,15
Foul Play,TM062,dark,physical,95,100,15
Sleep Talk,TM070,normal,other,--,101,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Metronome,TM080,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Swords Dance,TM088,normal,other,--,101,20
Flash Cannon,TM093,steel,special,80,100,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Stealth Rock,TM116,rock,other,--,101,20
Encore,TM122,normal,other,--,100,5
Play Rough,TM127,fairy,physical,90,90,10
Helping Hand,TM130,normal,other,--,101,20
Stone Edge,TM150,rock,physical,100,80,5
Steel Beam,TM170,steel,special,140,95,5
Tera Blast,TM171,normal,special,80,100,10
Knock Off,TM181,dark,physical,65,100,20
Endeavor,TM205,normal,physical,??,100,5
Skitter Smack,TM219,bug,physical,70,90,10
Metal Sound,TM223,steel,other,--,85,40
