name,source,type,category,power,accuracy,pp
Growl,nature,normal,other,--,100,40
Acid,nature,poison,special,40,100,30
Flail,nature,normal,physical,??,100,15
Belch,nature,poison,special,120,90,10
Nuzzle,nature,electric,physical,20,100,20
Tearful Look,nature,normal,other,--,101,20
Charm,TM002,fairy,other,--,100,20
Protect,TM007,normal,other,--,101,10
Facade,TM025,normal,physical,70,100,20
Endure,TM047,normal,other,--,101,10
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Encore,TM122,normal,other,--,100,5
Tera Blast,TM171,normal,special,80,100,10
Endeavor,TM205,normal,physical,??,100,5
Metal Sound,TM223,steel,other,--,85,40
