name,source,type,category,power,accuracy,pp
Spark,lv. Evolve,electric,physical,65,100,20
Leer,nature,normal,other,--,100,30
Growl,nature,normal,other,--,100,40
Acid,nature,poison,special,40,100,30
Thunder Shock,nature,electric,special,40,100,30
Nuzzle,nature,electric,physical,20,100,20
Noble Roar,nature,normal,other,--,100,30
Flail,nature,normal,physical,??,100,15
Belch,nature,poison,special,120,90,10
Tearful Look,nature,normal,other,--,101,20
Acid Spray,nature,poison,special,40,100,20
Charge,lv. 4,electric,other,--,101,20
Shock Wave,lv. 8,electric,special,60,101,20
Scary Face,lv. 12,normal,other,--,100,10
Taunt,lv. 16,dark,other,--,100,20
Screech,lv. 24,normal,other,--,85,40
Swagger,lv. 28,normal,other,--,85,15
Toxic,lv. 32,poison,other,--,90,10
Discharge,lv. 36,electric,special,80,100,15
Poison Jab,lv. 40,poison,physical,80,100,20
Overdrive,lv. 44,electric,special,80,100,10
Boomburst,lv. 48,normal,special,140,100,10
Shift Gear,lv. 52,steel,other,--,101,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Thunder Fang,TM009,electric,physical,65,95,15
Acid Spray,TM013,poison,special,40,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Charge Beam,TM023,electric,special,50,90,10
Facade,TM025,normal,physical,70,100,20
Poison Tail,TM026,poison,physical,50,100,25
Hex,TM029,ghost,special,65,100,10
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Stored Power,TM041,psychic,special,20,100,10
Fling,TM043,dark,physical,??,100,10
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Volt Switch,TM048,electric,special,70,100,20
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Brick Break,TM058,fighting,physical,75,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Electro Ball,TM072,electric,special,??,100,10
Drain Punch,TM073,fighting,physical,75,100,10
Metronome,TM080,normal,other,--,101,10
Thunder Wave,TM082,electric,other,--,90,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Toxic Spikes,TM091,poison,other,--,101,20
Eerie Impulse,TM096,electric,other,--,100,15
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
Hyper Voice,TM117,normal,special,90,100,10
Encore,TM122,normal,other,--,100,5
Thunderbolt,TM126,electric,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Electric Terrain,TM136,electric,other,--,101,10
Wild Charge,TM147,electric,physical,90,100,15
Sludge Bomb,TM148,poison,special,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Tera Blast,TM171,normal,special,80,100,10
Charge,TM173,electric,other,--,101,20
Toxic,TM175,poison,other,--,90,10
Uproar,TM191,normal,special,90,100,10
Endeavor,TM205,normal,physical,??,100,5
Electroweb,TM211,electric,special,55,95,15
Sludge Wave,TM214,poison,special,95,100,10
Throat Chop,TM221,dark,physical,80,100,15
Metal Sound,TM223,steel,other,--,85,40
Psychic Noise,TM228,psychic,special,75,100,10
