name,source,type,category,power,accuracy,pp
Water Gun,lv. Evolve,water,special,40,100,25
Tackle,nature,normal,physical,40,100,35
Take Down,nature,normal,physical,90,85,20
Double-Edge,nature,normal,physical,120,100,15
Tail Whip,nature,normal,other,--,100,30
Bite,nature,dark,physical,60,100,25
Growl,nature,normal,other,--,100,40
Copycat,nature,normal,other,--,101,20
Covet,nature,normal,physical,60,100,25
Helping Hand,nature,normal,other,--,101,20
Swift,nature,normal,special,60,101,20
Baton Pass,nature,normal,other,--,101,40
Charm,nature,fairy,other,--,100,20
Sand Attack,lv. 5,ground,other,--,100,15
Quick Attack,lv. 10,normal,physical,40,100,30
Baby-Doll Eyes,lv. 15,fairy,other,--,100,30
Haze,lv. 20,ice,other,--,101,30
Water Pulse,lv. 25,water,special,60,100,20
Aurora Beam,lv. 30,ice,special,65,100,20
Aqua Ring,lv. 35,water,other,--,101,20
Muddy Water,lv. 40,water,special,90,85,10
Acid Armor,lv. 45,poison,other,--,101,20
Hydro Pump,lv. 50,water,special,110,80,5
Last Resort,lv. 55,normal,physical,140,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Surf,TM123,water,special,90,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Haze,TM174,ice,other,--,101,30
Scald,TM188,water,special,80,100,15
Weather Ball,TM193,normal,special,50,100,10
Flip Turn,TM196,water,physical,60,100,20
Double-Edge,TM204,normal,physical,120,100,15
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
Curse,TM224,ghost,other,--,101,10
Alluring Voice,TM227,fairy,special,80,100,10
