name,source,type,category,power,accuracy,pp
Air Slash,lv. Evolve,flying,special,75,95,15
Tackle,nature,normal,physical,40,100,35
Supersonic,nature,normal,other,--,55,20
Disable,nature,normal,other,--,100,20
Quiver Dance,nature,bug,other,--,101,20
Confusion,lv. 11,psychic,special,50,100,25
Poison Powder,lv. 13,poison,other,--,75,35
Psybeam,lv. 17,psychic,special,65,100,20
Stun Spore,lv. 23,grass,other,--,75,30
Bug Buzz,lv. 25,bug,special,90,100,10
Sleep Powder,lv. 29,grass,other,--,75,15
Leech Life,lv. 37,bug,physical,80,100,10
Zen Headbutt,lv. 41,psychic,physical,80,90,15
Poison Fang,lv. 47,poison,physical,50,100,15
Psychic,lv. 55,psychic,special,90,100,10
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Acid Spray,TM013,poison,special,40,100,20
Acrobatics,TM014,flying,physical,55,100,15
Struggle Bug,TM015,bug,special,50,100,20
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Air Cutter,TM040,flying,special,60,95,25
Night Shade,TM042,ghost,special,??,100,15
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Zen Headbutt,TM059,psychic,physical,80,90,15
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Toxic Spikes,TM091,poison,other,--,101,20
Leech Life,TM095,bug,physical,80,100,10
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Baton Pass,TM132,normal,other,--,101,40
Sludge Bomb,TM148,poison,special,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Bug Buzz,TM162,bug,special,90,100,10
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Toxic,TM175,poison,other,--,90,10
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Sludge Wave,TM214,poison,special,95,100,10
Skitter Smack,TM219,bug,physical,70,90,10
Psychic Noise,TM228,psychic,special,75,100,10
