name,source,type,category,power,accuracy,pp
Slash,lv. Evolve,normal,physical,70,100,20
Sweet Scent,nature,normal,other,--,100,20
Struggle Bug,nature,bug,special,50,100,20
Bug Bite,nature,bug,physical,60,100,20
Gust,nature,flying,special,40,100,35
Confuse Ray,nature,ghost,other,--,100,10
Poison Sting,nature,poison,physical,15,100,35
Fury Cutter,lv. 4,bug,physical,40,95,20
Aromatic Mist,lv. 8,fairy,other,--,101,20
Fell Stinger,lv. 12,bug,physical,50,100,25
Fury Swipes,lv. 16,normal,physical,18,80,15
Swagger,lv. 20,normal,other,--,85,15
Roost,lv. 24,flying,other,--,101,5
Air Slash,lv. 28,flying,special,75,95,15
Power Gem,lv. 32,rock,special,80,100,20
Toxic,lv. 36,poison,other,--,90,10
Attack Order,lv. 40,bug,physical,90,100,15
Defend Order,lv. 40,bug,other,--,101,10
Destiny Bond,lv. 44,ghost,other,--,101,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Struggle Bug,TM015,bug,special,50,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Hex,TM029,ghost,special,65,100,10
Swift,TM032,normal,special,60,101,20
Fling,TM043,dark,physical,??,100,10
Venoshock,TM045,poison,special,65,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Spikes,TM090,ground,other,--,101,20
Toxic Spikes,TM091,poison,other,--,101,20
Power Gem,TM101,rock,special,80,100,20
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Helping Hand,TM130,normal,other,--,101,20
Pollen Puff,TM131,bug,special,90,100,15
Reversal,TM134,fighting,physical,??,100,15
Sludge Bomb,TM148,poison,special,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hurricane,TM160,flying,special,110,70,10
Bug Buzz,TM162,bug,special,90,100,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Toxic,TM175,poison,other,--,90,10
Spite,TM177,ghost,other,--,100,10
Bug Bite,TM182,bug,physical,60,100,20
Lunge,TM185,bug,physical,80,100,15
Dual Wingbeat,TM197,flying,physical,40,90,10
Endeavor,TM205,normal,physical,??,100,5
Skitter Smack,TM219,bug,physical,70,90,10
Psychic Noise,TM228,psychic,special,75,100,10
