name,source,type,category,power,accuracy,pp
Gust,lv. Evolve,flying,special,40,100,35
Poison Powder,nature,poison,other,--,75,35
Stun Spore,nature,grass,other,--,75,30
Sleep Powder,nature,grass,other,--,75,15
Struggle Bug,nature,bug,special,50,100,20
Light Screen,lv. 12,psychic,other,--,101,30
Psybeam,lv. 17,psychic,special,65,100,20
Supersonic,lv. 21,normal,other,--,55,20
Draining Kiss,lv. 25,fairy,special,50,100,10
Safeguard,lv. 31,normal,other,--,101,25
Bug Buzz,lv. 35,bug,special,90,100,10
Quiver Dance,lv. 45,bug,other,--,101,20
Hurricane,lv. 50,flying,special,110,70,10
Protect,TM007,normal,other,--,101,10
Acrobatics,TM014,flying,physical,55,100,15
Struggle Bug,TM015,bug,special,50,100,20
Psybeam,TM016,psychic,special,65,100,20
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Pounce,TM021,bug,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Draining Kiss,TM037,fairy,special,50,100,10
Air Cutter,TM040,flying,special,60,95,25
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
U-turn,TM060,bug,physical,70,100,20
Air Slash,TM065,flying,special,75,95,15
Sleep Talk,TM070,normal,other,--,101,10
Light Screen,TM075,psychic,other,--,101,30
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Iron Defense,TM104,steel,other,--,101,15
Giga Drain,TM111,grass,special,75,100,10
Tailwind,TM113,flying,other,--,101,15
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Pollen Puff,TM131,bug,special,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Hurricane,TM160,flying,special,110,70,10
Bug Buzz,TM162,bug,special,90,100,10
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Bug Bite,TM182,bug,physical,60,100,20
Weather Ball,TM193,normal,special,50,100,10
Skitter Smack,TM219,bug,physical,70,90,10
