name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Agility,nature,psychic,other,--,101,30
Quick Attack,nature,normal,physical,40,100,30
Assurance,nature,dark,physical,60,100,10
Taunt,nature,dark,other,--,100,20
Slash,nature,normal,physical,70,100,20
Beat Up,nature,dark,physical,??,100,10
Ice Shard,nature,ice,physical,40,100,30
Metal Claw,lv. 18,steel,physical,50,95,35
Icy Wind,lv. 24,ice,special,55,95,15
Fury Swipes,lv. 30,normal,physical,18,80,15
Hone Claws,lv. 36,dark,other,--,101,15
Fling,lv. 42,dark,physical,??,100,10
Nasty Plot,lv. 48,dark,other,--,101,20
Screech,lv. 54,normal,other,--,85,40
Night Slash,lv. 60,dark,physical,70,100,15
Dark Pulse,lv. 66,dark,special,80,100,15
Take Down,TM001,normal,physical,90,85,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Snarl,TM030,dark,special,55,95,15
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Avalanche,TM046,ice,physical,60,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Metronome,TM080,normal,other,--,101,10
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Dark Pulse,TM094,dark,special,80,100,15
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Shadow Ball,TM114,ghost,special,80,100,15
Surf,TM123,water,special,90,100,15
Ice Spinner,TM124,ice,physical,80,100,15
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Reversal,TM134,fighting,physical,??,100,15
Ice Beam,TM135,ice,special,90,100,10
Nasty Plot,TM140,dark,other,--,101,20
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Spite,TM177,ghost,other,--,100,10
Knock Off,TM181,dark,physical,65,100,20
Icicle Spear,TM187,ice,physical,25,100,30
Focus Punch,TM192,fighting,physical,150,100,20
Lash Out,TM199,dark,physical,75,100,5
Triple Axel,TM212,ice,physical,20,90,10
Throat Chop,TM221,dark,physical,80,100,15
Upper Hand,TM229,fighting,physical,65,100,15
