name,source,type,category,power,accuracy,pp
Thrash,lv. Evolve,normal,physical,120,100,10
Water Gun,nature,water,special,40,100,25
Rest,nature,psychic,other,--,101,5
Snore,nature,normal,special,50,100,15
Mud-Slap,nature,ground,special,20,100,10
Tickle,nature,normal,other,--,100,20
Zen Headbutt,nature,psychic,physical,80,90,15
Belch,nature,poison,special,120,90,10
Water Pulse,lv. 12,water,special,60,100,20
Amnesia,lv. 18,psychic,other,--,101,20
Aqua Tail,lv. 24,water,physical,90,90,10
Muddy Water,lv. 33,water,special,90,85,10
Earthquake,lv. 40,ground,physical,100,100,10
Future Sight,lv. 48,psychic,special,120,100,10
Fissure,lv. 56,ground,physical,??,30,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Bulldoze,TM028,ground,physical,60,100,20
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Mud Shot,TM035,ground,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Waterfall,TM077,water,physical,80,100,15
Stomping Tantrum,TM084,ground,physical,75,100,10
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Spikes,TM090,ground,other,--,101,20
Dragon Dance,TM100,dragon,other,--,101,20
Substitute,TM103,normal,other,--,101,10
Liquidation,TM110,water,physical,85,100,10
Stealth Rock,TM116,rock,other,--,101,20
Surf,TM123,water,special,90,100,15
Amnesia,TM128,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Earth Power,TM133,ground,special,90,100,10
Ice Beam,TM135,ice,special,90,100,10
Hydro Pump,TM142,water,special,110,80,5
Blizzard,TM143,ice,special,110,70,5
Earthquake,TM149,ground,physical,100,100,10
Stone Edge,TM150,rock,physical,100,80,5
Giga Impact,TM152,normal,physical,150,90,5
Outrage,TM156,dragon,physical,120,100,10
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Sand Tomb,TM176,ground,physical,35,85,15
High Horsepower,TM186,ground,physical,95,95,10
Weather Ball,TM193,normal,special,50,100,10
Double-Edge,TM204,normal,physical,120,100,15
Whirlpool,TM208,water,special,35,85,15
Muddy Water,TM209,water,special,90,85,10
Future Sight,TM217,psychic,special,120,100,10
Curse,TM224,ghost,other,--,101,10
