name,source,type,category,power,accuracy,pp
Stockpile,nature,normal,other,--,101,20
Echoed Voice,nature,normal,special,40,100,15
Round,nature,normal,special,60,100,15
Copycat,nature,normal,other,--,101,20
Gyro Ball,nature,steel,physical,??,100,5
Covet,nature,normal,physical,60,100,25
Hyper Voice,nature,normal,special,90,100,10
Swallow,nature,normal,other,--,101,10
Spit Up,nature,normal,special,??,100,10
Disarming Voice,nature,fairy,special,40,101,15
Pound,nature,normal,physical,40,100,35
Sweet Kiss,nature,fairy,other,--,75,10
Rest,nature,psychic,other,--,101,5
Defense Curl,nature,normal,other,--,101,40
Mimic,nature,normal,other,--,101,10
Disable,nature,normal,other,--,100,20
Sing,nature,normal,other,--,55,15
Double-Edge,nature,normal,physical,120,100,15
Body Slam,nature,normal,physical,85,100,15
Charm,nature,fairy,other,--,100,20
Play Rough,lv. 5,fairy,physical,90,90,10
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Protect,TM007,normal,other,--,101,10
Water Pulse,TM011,water,special,60,100,20
Thief,TM018,dark,physical,60,100,25
Disarming Voice,TM019,fairy,special,40,101,15
Trailblaze,TM020,grass,physical,50,100,20
Chilling Water,TM022,water,special,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Magical Leaf,TM033,grass,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Draining Kiss,TM037,fairy,special,50,100,10
Stored Power,TM041,psychic,special,20,100,10
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Sandstorm,TM051,rock,other,--,101,10
Psyshock,TM054,psychic,special,80,100,10
Dig,TM055,ground,physical,80,100,10
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Drain Punch,TM073,fighting,physical,75,100,10
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Dazzling Gleam,TM079,fairy,special,80,100,10
Metronome,TM080,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Body Press,TM089,fighting,physical,80,100,10
Dark Pulse,TM094,dark,special,80,100,15
Skill Swap,TM098,psychic,other,--,101,10
Substitute,TM103,normal,other,--,101,10
Shadow Ball,TM114,ghost,special,80,100,15
Stealth Rock,TM116,rock,other,--,101,20
Hyper Voice,TM117,normal,special,90,100,10
Energy Ball,TM119,grass,special,90,100,10
Psychic,TM120,psychic,special,90,100,10
Encore,TM122,normal,other,--,100,5
Ice Spinner,TM124,ice,physical,80,100,15
Flamethrower,TM125,fire,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Play Rough,TM127,fairy,physical,90,90,10
Amnesia,TM128,psychic,other,--,101,20
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Ice Beam,TM135,ice,special,90,100,10
Misty Terrain,TM139,fairy,other,--,101,10
Nasty Plot,TM140,dark,other,--,101,20
Fire Blast,TM141,fire,special,110,85,5
Blizzard,TM143,ice,special,110,70,5
Wild Charge,TM147,electric,physical,90,100,15
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Gravity,TM178,psychic,other,--,101,5
Gyro Ball,TM180,steel,physical,??,100,5
Knock Off,TM181,dark,physical,65,100,20
Uproar,TM191,normal,special,90,100,10
Focus Punch,TM192,fighting,physical,150,100,20
Misty Explosion,TM201,fairy,special,100,100,5
Pain Split,TM202,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Expanding Force,TM218,psychic,special,80,100,10
Alluring Voice,TM227,fairy,special,80,100,10
Psychic Noise,TM228,psychic,special,75,100,10
