name,source,type,category,power,accuracy,pp
Absorb,nature,grass,special,20,100,25
Spite,nature,ghost,other,--,100,10
Mean Look,nature,normal,other,--,101,5
Tickle,lv. 5,normal,other,--,100,20
Payback,lv. 10,dark,physical,50,100,10
Poison Powder,lv. 15,poison,other,--,75,35
Stun Spore,lv. 15,grass,other,--,75,30
Mega Drain,lv. 20,grass,special,40,100,15
Leech Seed,lv. 25,grass,other,--,90,10
Growth,lv. 30,normal,other,--,101,20
Ingrain,lv. 35,grass,other,--,101,20
Dark Pulse,lv. 40,dark,special,80,100,15
Giga Drain,lv. 45,grass,special,75,100,10
Ruination,lv. 50,dark,special,??,90,10
Foul Play,lv. 55,dark,physical,95,100,15
Power Whip,lv. 60,grass,physical,120,85,10
Grassy Terrain,lv. 65,grass,other,--,101,10
Knock Off,lv. 70,dark,physical,65,100,20
Leaf Storm,lv. 75,grass,special,130,90,5
Take Down,TM001,normal,physical,90,85,20
Mud-Slap,TM005,ground,special,20,100,10
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Hex,TM029,ghost,special,65,100,10
Snarl,TM030,dark,special,55,95,15
Magical Leaf,TM033,grass,special,60,101,20
Mud Shot,TM035,ground,special,55,95,15
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Bullet Seed,TM056,grass,physical,25,100,30
Zen Headbutt,TM059,psychic,physical,80,90,15
Foul Play,TM062,dark,physical,95,100,15
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Reflect,TM074,psychic,other,--,101,20
Light Screen,TM075,psychic,other,--,101,30
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Body Press,TM089,fighting,physical,80,100,10
Dark Pulse,TM094,dark,special,80,100,15
Substitute,TM103,normal,other,--,101,10
Giga Drain,TM111,grass,special,75,100,10
Energy Ball,TM119,grass,special,90,100,10
Pollen Puff,TM131,bug,special,90,100,15
Grassy Terrain,TM137,grass,other,--,101,10
Giga Impact,TM152,normal,physical,150,90,5
Leaf Storm,TM159,grass,special,130,90,5
Hyper Beam,TM163,normal,special,150,90,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Spite,TM177,ghost,other,--,100,10
Knock Off,TM181,dark,physical,65,100,20
Solar Blade,TM190,grass,physical,125,100,10
Lash Out,TM199,dark,physical,75,100,5
