name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Quick Attack,lv. 5,normal,physical,40,100,30
Fury Cutter,lv. 8,bug,physical,40,95,20
Metal Claw,lv. 12,steel,physical,50,95,35
Hone Claws,lv. 15,dark,other,--,101,15
Slash,lv. 19,normal,physical,70,100,20
Power Trip,lv. 22,dark,physical,20,100,10
Crush Claw,lv. 26,normal,physical,75,95,10
False Swipe,lv. 29,normal,physical,40,100,40
Switcheroo,lv. 33,dark,other,--,100,10
Detect,lv. 36,fighting,other,--,101,5
X-Scissor,lv. 40,bug,physical,80,100,15
Taunt,lv. 43,dark,other,--,100,20
Swords Dance,lv. 47,normal,other,--,101,20
Close Combat,lv. 50,fighting,physical,120,100,5
Take Down,TM001,normal,physical,90,85,20
Agility,TM004,psychic,other,--,101,30
Protect,TM007,normal,other,--,101,10
Low Kick,TM012,fighting,physical,??,100,20
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Aerial Ace,TM027,flying,physical,60,101,20
Metal Claw,TM031,steel,physical,50,95,35
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Rock Tomb,TM036,rock,physical,60,95,15
Low Sweep,TM039,fighting,physical,65,100,20
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
False Swipe,TM057,normal,physical,40,100,40
Brick Break,TM058,fighting,physical,75,100,15
Zen Headbutt,TM059,psychic,physical,80,90,15
Shadow Claw,TM061,ghost,physical,70,100,15
Body Slam,TM066,normal,physical,85,100,15
Fire Punch,TM067,fire,physical,75,100,15
Thunder Punch,TM068,electric,physical,75,100,15
Ice Punch,TM069,ice,physical,75,100,15
Sleep Talk,TM070,normal,other,--,101,10
Seed Bomb,TM071,grass,physical,80,100,15
Grass Knot,TM081,grass,special,??,100,20
Thunder Wave,TM082,electric,other,--,90,20
Poison Jab,TM083,poison,physical,80,100,20
Rest,TM085,psychic,other,--,101,5
Rock Slide,TM086,rock,physical,75,90,10
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Gunk Shot,TM102,poison,physical,120,80,5
Substitute,TM103,normal,other,--,101,10
X-Scissor,TM105,bug,physical,80,100,15
Aura Sphere,TM112,fighting,special,80,101,20
Shadow Ball,TM114,ghost,special,80,100,15
Surf,TM123,water,special,90,100,15
Flamethrower,TM125,fire,special,90,100,15
Thunderbolt,TM126,electric,special,90,100,15
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Reversal,TM134,fighting,physical,??,100,15
Ice Beam,TM135,ice,special,90,100,10
Fire Blast,TM141,fire,special,110,85,5
Blizzard,TM143,ice,special,110,70,5
Giga Impact,TM152,normal,physical,150,90,5
Focus Blast,TM158,fighting,special,120,70,5
Hyper Beam,TM163,normal,special,150,90,5
Thunder,TM166,electric,special,110,70,10
Close Combat,TM167,fighting,physical,120,100,5
Solar Beam,TM168,grass,special,120,100,10
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Knock Off,TM181,dark,physical,65,100,20
Focus Punch,TM192,fighting,physical,150,100,20
Double-Edge,TM204,normal,physical,120,100,15
Endeavor,TM205,normal,physical,??,100,5
Throat Chop,TM221,dark,physical,80,100,15
Curse,TM224,ghost,other,--,101,10
Upper Hand,TM229,fighting,physical,65,100,15
