name,source,type,category,power,accuracy,pp
Scratch,nature,normal,physical,40,100,35
Leer,nature,normal,other,--,100,30
Torment,lv. 4,dark,other,--,100,15
Hone Claws,lv. 8,dark,other,--,101,15
Fury Swipes,lv. 12,normal,physical,18,80,15
Scary Face,lv. 16,normal,other,--,100,10
Taunt,lv. 20,dark,other,--,100,20
Knock Off,lv. 24,dark,physical,65,100,20
Fake Tears,lv. 28,dark,other,--,100,20
Agility,lv. 32,psychic,other,--,101,30
Imprison,lv. 36,psychic,other,--,101,10
Night Daze,lv. 40,dark,special,85,95,10
Nasty Plot,lv. 44,dark,other,--,101,20
Foul Play,lv. 48,dark,physical,95,100,15
Take Down,TM001,normal,physical,90,85,20
Fake Tears,TM003,dark,other,--,100,20
Agility,TM004,psychic,other,--,101,30
Scary Face,TM006,normal,other,--,100,10
Protect,TM007,normal,other,--,101,10
Confuse Ray,TM017,ghost,other,--,100,10
Thief,TM018,dark,physical,60,100,25
Facade,TM025,normal,physical,70,100,20
Hex,TM029,ghost,special,65,100,10
Snarl,TM030,dark,special,55,95,15
Swift,TM032,normal,special,60,101,20
Icy Wind,TM034,ice,special,55,95,15
Night Shade,TM042,ghost,special,??,100,15
Fling,TM043,dark,physical,??,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Snowscape,TM052,ice,other,--,101,10
Dig,TM055,ground,physical,80,100,10
U-turn,TM060,bug,physical,70,100,20
Shadow Claw,TM061,ghost,physical,70,100,15
Foul Play,TM062,dark,physical,95,100,15
Sleep Talk,TM070,normal,other,--,101,10
Grass Knot,TM081,grass,special,??,100,20
Rest,TM085,psychic,other,--,101,5
Taunt,TM087,dark,other,--,100,20
Swords Dance,TM088,normal,other,--,101,20
Imprison,TM092,psychic,other,--,101,10
Dark Pulse,TM094,dark,special,80,100,15
Substitute,TM103,normal,other,--,101,10
Will-O-Wisp,TM107,fire,other,--,85,15
Trick,TM109,psychic,other,--,100,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Encore,TM122,normal,other,--,100,5
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Nasty Plot,TM140,dark,other,--,101,20
Sludge Bomb,TM148,poison,special,90,100,10
Phantom Force,TM151,ghost,physical,90,100,10
Giga Impact,TM152,normal,physical,150,90,5
Hyper Beam,TM163,normal,special,150,90,5
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Spite,TM177,ghost,other,--,100,10
Knock Off,TM181,dark,physical,65,100,20
Focus Punch,TM192,fighting,physical,150,100,20
Burning Jealousy,TM195,fire,special,70,100,5
Lash Out,TM199,dark,physical,75,100,5
Pain Split,TM202,normal,other,--,101,20
Psych Up,TM203,normal,other,--,101,10
Skitter Smack,TM219,bug,physical,70,90,10
Curse,TM224,ghost,other,--,101,10
